trained_on,tested_on,n,auc,tpr_at_fpr_0.01,tpr_at_fpr_0.001
promptshield,abstract,3380,0.6591897761077105,0.4533715925394548,0.18938307030129126
promptshield,code,619,0.6055469773535467,0.028846153846153848,0.019230769230769232
promptshield,email,411,0.6806621199204319,0.27941176470588236,0.27941176470588236
promptshield,table,1522,0.5930807133737631,0.26141078838174275,0.13900414937759337
abstract,abstract,3380,0.9643635387484084,0.890961262553802,0.8766140602582496
abstract,code,619,0.5391399962567845,0.014423076923076924,0.0
abstract,email,411,0.8439305673960406,0.4411764705882353,0.4411764705882353
abstract,table,1522,0.7565252952441749,0.35269709543568467,0.3153526970954357
code,abstract,3380,0.8023051242987491,0.38880918220946914,0.2769010043041607
code,code,619,0.782291081789257,0.1346153846153846,0.057692307692307696
code,email,411,0.7837098607558965,0.39705882352941174,0.39705882352941174
code,table,1522,0.758714690392595,0.44813278008298757,0.27800829875518673
email,abstract,3380,0.85958324131267,0.5824964131994261,0.4935437589670014
email,code,619,0.6401424761370017,0.14903846153846154,0.14903846153846154
email,email,411,0.9423368381168893,0.5441176470588235,0.5441176470588235
email,table,1522,0.7420423715288861,0.33195020746887965,0.2925311203319502
table,abstract,3380,0.6655240953321594,0.34576757532281205,0.3084648493543759
table,code,619,0.5305189032378813,0.004807692307692308,0.004807692307692308
table,email,411,0.5973051056171261,0.014705882352941176,0.014705882352941176
table,table,1522,0.7751615863389723,0.5394190871369294,0.029045643153526972
